"","X.1","X","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","comments"
"1",2,2,2,"Sockeye","Atnarko-Sockeye",52.38,-126.78,"WC","BC",1987,2011,25,55000,90984,NA,NA
"2",14,14,14,"Sockeye","Fennell-Sockeye",49.12,-123.06,"WC","BC",1963,2011,46,15409,78650,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA
"3",24,24,24,"Sockeye","Nass (Meziadin)-Sockeye",54.96,-129.9,"WC","BC",1972,2010,39,592118,1825747.805,"Richard Alexander, 2018, LGL via Greg Ruggerone",NA
"4",27,27,27,"Sockeye","Owikeno-Sockeye",51.68,-127.25,"WC","BC",1987,2010,24,459600,800980,"Karl English (LGL) June 23 2014 via Jim Irvine (DFO)",NA
"5",34,34,34,"Sockeye","Early Stuart-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,386806,1814783,"Eric Taylor, Pacific Salmon Commission, 2022",NA
"6",35,35,35,"Sockeye","Late Stuart-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,1805142,5327124,"Eric Taylor, Pacific Salmon Commission, 2022",NA
"7",36,36,36,"Sockeye","Stellako-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,240406,1904124,"Eric Taylor, Pacific Salmon Commission, 2022",NA
"8",37,37,37,"Sockeye","Bowron-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,16178,214316,"Eric Taylor, Pacific Salmon Commission, 2022",NA
"9",38,38,38,"Sockeye","Raft-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,27668,115396,"Eric Taylor, Pacific Salmon Commission, 2022",NA
"10",39,39,39,"Sockeye","Quesnel-Sockeye",49.12,-123.06,"WC","BC",1948,2015,68,1740454,12545239,"Eric Taylor, Pacific Salmon Commission, 2022",NA
