"","X","stock","species","broodyear","recruits","spawners","stock.id"
"1",64,"Atnarko","Sockeye",1987,90984,30780,2
"2",65,"Atnarko","Sockeye",1988,62288,30000,2
"3",66,"Atnarko","Sockeye",1989,39421,15000,2
"4",67,"Atnarko","Sockeye",1990,54979,20000,2
"5",68,"Atnarko","Sockeye",1991,69361,52500,2
"6",69,"Atnarko","Sockeye",1992,49322,41000,2
"7",70,"Atnarko","Sockeye",1993,28183,15000,2
"8",71,"Atnarko","Sockeye",1994,41466,25000,2
"9",72,"Atnarko","Sockeye",1995,26868,55000,2
"10",73,"Atnarko","Sockeye",1996,22151,45000,2
"11",74,"Atnarko","Sockeye",1997,35068,20000,2
"12",75,"Atnarko","Sockeye",1998,44282,30000,2
"13",76,"Atnarko","Sockeye",1999,26684,25000,2
"14",77,"Atnarko","Sockeye",2000,23413,15000,2
"15",78,"Atnarko","Sockeye",2001,7454,30000,2
"16",79,"Atnarko","Sockeye",2002,6519,50000,2
"17",80,"Atnarko","Sockeye",2003,937,18000,2
"18",81,"Atnarko","Sockeye",2004,2877,25000,2
"19",82,"Atnarko","Sockeye",2005,3835,6000,2
"20",83,"Atnarko","Sockeye",2006,2126,6000,2
"21",84,"Atnarko","Sockeye",2007,1926,1200,2
"22",85,"Atnarko","Sockeye",2008,4142,900,2
"23",86,"Atnarko","Sockeye",2009,1400,3500,2
"24",87,"Atnarko","Sockeye",2010,2858,2300,2
"25",88,"Atnarko","Sockeye",2011,13609,1500,2
"482",1083,"Fennell","Sockeye",1963,6534,248,14
"483",1084,"Fennell","Sockeye",1964,3637,67,14
"484",1087,"Fennell","Sockeye",1967,15201,294,14
"485",1088,"Fennell","Sockeye",1968,15037,577,14
"486",1089,"Fennell","Sockeye",1969,881,22,14
"487",1090,"Fennell","Sockeye",1970,740,5,14
"488",1091,"Fennell","Sockeye",1971,16707,306,14
"489",1092,"Fennell","Sockeye",1972,29007,1030,14
"490",1093,"Fennell","Sockeye",1973,1106,83,14
"491",1094,"Fennell","Sockeye",1974,586,70,14
"492",1095,"Fennell","Sockeye",1975,62451,2181,14
